0.2000	0.2000	1.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
1.0000	10.0000	10.0000	10.0000	5.0000	25.0000	10.0000	10.0000	10.0000	10.0000	1.0000	1.0000	1.0000	0.4000	0.4000	1.0000	1.0000	1.0000	1.0000	0.4000	0.4000	1.0000
1.3333	1.3333	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	3.0000	3.0000	3.0000	3.0000	8.0000	8.0000	1.3333	3.0000	3.0000	3.0000
0.1333	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250	0.1250
inf	inf	inf	inf	4.0000	2.0000	2.0000	2.0000	2.0000	0.8000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
0.5000	1.0000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	1.0000	0.5000	0.5000	0.5000	1.0000	2.0000	1.0000	2.0000	2.0000	2.0000	1.0000	1.0000
0.0000	0.0000	0.0000	0.0000	0.4000	0.4000	0.4000	0.4000	0.4000	0.4000	0.2000	0.0400	0.1000	0.2000	0.1000	0.1000	0.1000	0.0400	0.0400	0.0400	0.0400	0.0400
1.2500	0.5000	1.5000	1.5000	0.7500	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	0.6667	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000
3.0000	1.5000	1.5000	0.7500	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	3.0000	1.3333	1.3333	1.5000	0.5000	0.5000	0.2500	0.5000	0.2500
0.1333	3.3333	0.8000	0.0000	0.0000	0.0000	0.0000	0.8000	0.8000	0.8000	0.3000	0.3000	0.3000	0.0000	0.3000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	0.5000	0.5000	2.0000	2.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.3333	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.0000	0.0000	0.6667	0.5000	0.2500	0.6667	0.6667	0.2500	0.6667	0.2500	0.6667	0.6667
0.6667	3.3333	7.5000	7.5000	7.5000	7.5000	3.3333	3.3333	1.3333	3.0000	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333
0.0000	0.0000	1.2500	3.3333	1.2500	1.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
inf	2.5000	10.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	2.0000	5.0000	5.0000	2.5000	2.5000	2.5000	5.0000	5.0000	5.0000	5.0000
1.0000	1.0000	0.4000	0.5000	0.5000	0.2000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
3.3333	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	4.0000	4.0000	1.5000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000
1.2500	1.2500	1.2500	0.5000	0.6667	inf	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	0.6667	1.3333	1.3333	1.3333	1.3333	1.3333	0.5000	0.5000	0.5000	0.5000
0.0000	0.1250	0.1250	0.2500	0.1333	0.6667	0.6667	0.6667	0.6667	1.3333	0.1250	0.1250	0.1250	0.1250	0.1250	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500
0.2500	0.1000	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.4000	inf	inf	inf	nan	nan	nan	nan	nan	nan	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
inf	inf	3.3333	3.3333	3.3333	0.2500	0.2500	0.2500	0.2500	0.2500	0.6667	0.6667	0.6667	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
0.5000	3.3333	3.3333	1.5000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	1.3333	1.3333	3.0000	1.5000	1.5000	1.5000	1.5000	3.0000	3.0000	3.0000
0.5000	inf	2.0000	2.0000	0.6667	4.0000	4.0000	4.0000	4.0000	4.0000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000
0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	2.0000	2.0000	2.0000	2.0000	5.0000	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
2.0000	2.0000	1.0000	0.5000	0.5000	0.5000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1.2500	inf	inf	0.5000	3.3333	3.3333	inf	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	4.0000	4.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
0.7500	7.5000	2.0000	0.7500	1.5000	0.7500	0.7500	0.7500	0.7500	0.7500	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000	0.3000
0.0000	nan	nan	nan	nan	1.3333	1.3333	1.3333	1.3333	1.3333	0.5000	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333
1.0000	0.0000	1.0000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
7.5000	7.5000	3.3333	3.3333	20.0000	20.0000	3.3333	3.3333	3.3333	3.3333	1.2500	1.2500	inf	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.3333	1.3333	inf	3.0000	1.3333	4.0000	4.0000	0.7500	0.7500	0.7500	1.2500	1.2500	1.2500	1.2500	1.2500	1.2500	3.3333	1.2500	1.2500	1.2500	1.2500	1.2500
1.3333	0.3333	0.1333	0.1333	0.1333	0.3000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.8000	0.1333	0.8000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
nan	nan	nan	nan	nan	0.2000	0.2000	0.2000	0.2000	0.2000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000
0.5000	0.4000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	inf	1.0000	inf	inf	inf	inf
0.5000	1.2500	1.2500	1.5000	1.5000	1.5000	3.3333	3.3333	3.3333	3.3333	1.5000	0.6667	0.6667	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	0.6667	1.5000	1.5000
1.3333	inf	8.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	0.7500	0.7500	1.5000	0.7500	0.7500	0.7500	0.7500	0.7500	0.7500	0.7500	0.7500	0.7500
0.5000	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	0.6667	2.0000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000	1.5000
0.1000	0.5000	0.5000	0.5000	1.0000	1.0000	0.2500	0.5000	0.2500	0.2500	0.2500	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000
