Sample_ID	otu1	otu2	otu3	otu4	otu5	otu6	otu7	otu8	otu9	otu10	Class
taxonomy	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Rubrivivax; s__Rubrivivax gelatinosus	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Xenorhabdus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera; s__	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__	NA
h186M.1.418788	0.33251	0	73.8172	212.47384	1.66255	10.30781	0	0	0	0.33251	1
h165M.1.418394	0.59458	0	130.51009	0.29729	0	0.29729	0.29729	277.96569	0.29729	0	1
h273M.1.418507	0.36223	0	84.03714	1.81115	1.44892	1.81115	0	0	0	0.36223	1
TS129.418618	1.06263	1.94816	672.82411	0	0	0	0.88553	2842.3675	0	0.70842	0
TS184.418577	1.95981	8.57418	1315.7684	0	0	0	0	588.92334	0	0	0
TS185.418675	1.35746	1.90045	1033.29958	0	0.27149	0	1.35746	1658.00329	0.27149	0.27149	0
TS194.418607	1.7818	10.29486	620.85916	0	0.19798	0	1.7818	10071.73734	0.19798	0	0
TS164.418396	0.58861	2.64876	51.50372	0	0	0	0	459.41316	0	0.29431	0
TS5.418546	0.93381	0.93381	1138.77557	0	1.40071	0	0	4.66903	0	0	0
TS193.418750	1.93807	0.35238	586.35402	0	0	0	0.88094	2059.28658	0.52856	0.17619	0
TS111.418684	0.56558	1.69674	358.20014	0	0.37705	0	1.50821	691.13775	0.37705	0.18853	0
TS128.418470	11.18903	0.26641	234.17044	0	0.26641	0	0.53281	3334.06495	0	0	0
TS2.418517	2.63296	1.88069	101.55701	0	5358.44867	0	0.75227	35.35688	0.75227	0.37614	0
TS4.418810	0.64342	0.32171	278.60086	0	30.56245	0	0.32171	4755.19551	0.32171	0	0
TS1.418828	5.40959	0.24589	5.65548	0	0	0	0.73767	4870.10221	0.24589	0.24589	0
USchp36Mom.418718	5.80267	0.75687	393.57262	0	0.75687	0	0.75687	1469.59009	0	0	0
TS110.418428	2.22691	1.11345	31.7334	0	0	0	0.27836	1442.75621	0.27836	0.55673	0
TS163.418636	2.51285	0.35898	558.21088	0	0	0	5.74365	7.17956	0	0	0
TS127.418550	0.73717	0.24572	412.81257	0	0.49144	0	1.47433	2241.9654	0.24572	0	0
TS8.418379	7.43629	0.23988	397.00174	0	0.47976	0	2.87856	626.80698	0	0	0
TS195.418848	8.16865	0	660.99866	0	0.22077	0	1.32465	1861.1285	0.22077	0.44155	0
TS7.418860	2.85559	0	444.5203	0	2.37966	0	1.18983	573.73578	0	0.23797	0
USygt41.F.418802	1.86474	0.31079	160.67806	0	0	0	0.62158	805.56584	0	0	0
USygt49.M.418347	4.40489	10.27808	39.64401	0	0	0	0.36707	4633.20981	0	0	0
USygt43.M.418520	6.20244	5.75941	16.8352	0	0	0	4.87335	14880.99037	0.44303	0	0
USygt51.M.418844	0.72855	1.45709	318.37452	0	0	0	1.09282	6442.53071	0	0	0
USygt51.F.418349	5.2195	0.52195	175.89724	0	0	0	0.52195	807.97899	0	0.52195	0
USygt52.M.418736	0	0.44048	125.09492	0	0.44048	0	1851.31671	1420.97257	0	0.88095	0
USygt46.M.418453	0	1.47531	1.47531	0	0	0	1.47531	227674.367	0	0	0
USygt44.F.418709	9.75955	0.39038	13.66336	0	0	0	1.17115	8726.98586	0	0	0
USygt40.F.418369	0	0	288.29355	0	0	0	0.35902	356.50747	0	0.71804	0
USygt37.M.418793	0.35783	0	203.9619	0	0	0	0	1460.65348	0	0.35783	0
USygt48.F.418551	0.2952	0	147.89543	0	0	0	0.5904	209.88753	0	0.5904	0
USygt43.F.418760	0.75971	0	69.89358	0	0	0	1.51943	2779.02951	0	0.37986	0
USygt40.M.418504	0.44165	0	261.01438	0	0	0	0.22082	1650.22034	0	0.22082	0
USygt48.M.418794	5.04727	0	1244.99223	0	0	0	1.12161	1587.6455	0.56081	1.12161	0
USygt53.M.418452	1.5319	0	71.99911	0	0	0	0	34.21234	1.02126	1.02126	0
USygt49.F.418818	0.70637	0	366.60508	0	0	0	0	5731.82447	0.35318	0.35318	0
USygt50.M.418681	0.46936	0	634.10126	0	0	0	2.81614	7719.04466	0	0	0
USygt21.M.418797	1.22713	0.73628	326.90678	0	0	0	1.47255	3502.95834	0	0	0
USygt16.F.418383	1.4819	0.59276	328.39005	0	0	0	0.59276	2302.87967	6.224	0.29638	0
USygt5.F.418630	0.2819	0.2819	261.88095	0	0	0	0.84569	1037.09366	0	0.2819	0
USygt8.F.418739	0.93089	0.62059	4.03385	0	0	0	0	3581.74874	0	0.3103	0
USygt19.M.418397	0.38053	0.38053	7.61052	0	0.38053	0	0.38053	2830.35344	0.38053	0.38053	0
USygt5.M.418357	0.58502	0.29251	263.55114	0	0	0	0	2165.44846	0	0.58502	0
USygt9.M.418560	0.65392	0	187.34667	0	0	0	0.98087	4.25045	0	0	0
USygt20.M.418572	0.93802	0	69.72648	0	0	0	3.12675	1998.30457	0	0.31267	0
USygt4.M.418367	16.66592	0	183.61752	0	0	0	1.75431	2271.53582	0	0	0
USygt6.M.418593	0.94561	0	47.91091	0	0	0	0.3152	4599.13196	0	0.3152	0
USygt4.F.418451	1.66019	0	0	0	0	0	0	7429.61803	0.5534	0	0
USygt10.M.418687	0.69082	0	482.88293	0	0	0	0	8.98066	0	0	0
USygt17.M.418444	0.42224	0	271.71212	0	0	0	0.84448	4672.30834	0.21112	0.21112	0
USygt18.M.418867	2.29514	0	212.13608	0	0	0	0.32788	1739.05679	0	0.32788	0
